,Continent,GDP_Capita,IncomeGroup,Area,Total_Edge_Length,Density,Edge_No,Ave_Path_Length,Assortativity,Diameter,Max_Degree,max_5perc_isolated,max_10perc_isolated,max_20perc_isolated,mean_5perc_isolated,mean_10perc_isolated,mean_20perc_isolated,min_5perc_isolated,min_10perc_isolated,min_20perc_isolated,max_5perc_surloss_e2,max_10perc_surloss_e2,max_20perc_surloss_e2,mean_5perc_surloss_e2,mean_10perc_surloss_e2,mean_20perc_surloss_e2,min_5perc_surloss_e2,min_10perc_surloss_e2,min_20perc_surloss_e2,areaLog,edgeLog,edgeAreaLog
Austria,Europe,50277.2750874213,High income,83836.40509991835,44777136.99864151,9.372370798004104e-05,48445,93.16164209376592,0.030141382659706437,307,12,34.91933278643697,39.83225629038911,69.67201674808095,4.081186422275697,16.074046618085923,41.58111057553777,1.3268998793727385,1.36891592920354,27.132412672623886,0.7309083107300278,0.9101814015609868,0.9997734949637476,0.5971375513708397,0.792439788676122,0.964302807563286,0.4866309846456852,0.6508787737249165,0.9167257141073606,11.336622620533458,17.61720823226831,6.2805856117348515
Azerbaijan,Asia,4793.58701966989,Upper middle income,86288.10797858906,17358439.72050534,0.00036363344816574473,12019,80.42802231539719,0.11292064194485175,225,16,35.60033585222502,62.91993281075028,92.71776018099548,8.941610976133749,30.181495071414275,84.59761923931302,1.3794064372300403,8.348331718122662,50.66168009205983,0.7649378623229066,0.9362339006820156,0.9887876673649864,0.49786018493446405,0.7317795426306374,0.9274285745321067,0.3268390006477132,0.5624356874461355,0.8277203380266736,11.365447068950566,16.669589385306146,5.304142316355581
Burundi,Africa,261.247472515742,Low income,26983.902711806448,13677809.873820398,0.0008957682762420112,5073,37.67340426377224,0.045894752085160334,108,8,13.513513513513514,17.77777777777778,44.35860947347022,2.6155079562188686,4.501346179621984,19.943521867214923,0.9484458634613578,0.9626604434072344,3.3631375736638893,0.2601811549560777,0.381658562672372,0.8501086807938539,0.11516402733150351,0.23698023836717497,0.525407779097756,0.05220121937570705,0.14548297586510436,0.4051165706617982,10.202995771332024,16.431285360398842,6.228289589066818
Belgium,Europe,46116.69923368,High income,30696.378978640478,34743502.96492595,7.227867356135242e-05,65595,74.52173125784023,0.0763440362869934,203,10,7.809753954305799,13.332608931870046,36.94365270773953,2.4236234448432725,3.723534643817259,14.450347205817604,1.049618320610687,1.0495382031905964,3.3608990670059375,0.5929407972396399,0.7963962893716856,0.9933480792346506,0.4380835431503033,0.6776774747901423,0.9297069401424224,0.3164074114069106,0.5673017709708945,0.8790500855925862,10.331899978040322,17.363503147456832,7.03160316941651
Benin,Africa,1219.43267185875,Lower middle income,115359.1293343792,13440348.10108061,0.0011197209509246297,4168,46.3676182503769,0.07399266157960457,128,10,47.42252456538171,59.06658739595719,88.39325675070864,7.140866554301967,18.07698694984415,64.88335875375184,1.4582412726469287,1.5101177891875568,22.410687481236867,0.8066696399848678,0.8981560656442913,0.9926834572989643,0.43408348716378575,0.6455248805729974,0.9076598782820428,0.19473106754633449,0.46011358337630504,0.7168719478923996,11.655805405111474,16.41377179310189,4.757966387990416
Burkina Faso,Africa,774.8396902346001,Low income,273615.412084579,19909041.689715184,0.001497866775395067,3152,29.12548340893949,0.12114382397330575,72,11,11.660727013542408,27.970079202112057,69.85604187872619,2.9323246298474577,6.573374760377264,32.39594620467353,1.4156285390713474,1.4480286738351258,7.7214452214452205,0.5241555919512811,0.8082559627303314,0.988510861638103,0.3049695185651569,0.50072740485492,0.7622454914671767,0.12082443737684853,0.3447630081304068,0.6240742086217989,12.519478793862508,16.80668454277326,4.287205748910754
Bangladesh,Asia,1855.7398240804605,Lower middle income,139583.588440972,30821998.54598352,0.0002636272789597834,14520,89.35300651297365,0.05770141197231201,246,13,55.24133106825222,79.35210414774447,93.4461720133832,15.512865918983449,36.28199216743721,80.864914354069,1.4544279250161603,8.706758914316126,54.858868867826274,0.7462413563714627,0.9516601156061176,0.9980924944683992,0.4399585712748822,0.6749222459166556,0.9327291367316819,0.24624794741007466,0.4501218083522039,0.8039017673013285,11.846418901088448,17.24373923150283,5.39732033041438
Bulgaria,Europe,9737.60135083347,Upper middle income,111601.50248369348,25409245.537410736,0.00025670796644962547,19395,58.86453684072346,0.052763749028132016,152,11,16.981366459627328,21.59789288849868,72.53370291041955,3.970369389792019,7.891026271371575,32.368102853613365,1.235646530204693,1.2623762376237624,8.015409469367466,0.7664128227989605,0.901060114745216,0.9980775479261859,0.48578605647701756,0.7404770817359069,0.9461213434970861,0.2986224627478601,0.5820052283637457,0.8482545407600879,11.622689791954254,17.05062366329359,5.427933871339335
Bahrain,Asia,23503.977126673,High income,714.5887280107012,1418816.070512022,0.0009948067623045094,5514,30.094101611374068,0.07415727318514291,77,10,7.621967618740251,10.52803840279293,30.461588825840252,1.8448251782061116,3.106900525218593,11.177317122807825,0.5196304849884527,0.5207237534188934,1.077857416425015,0.16495690578131075,0.2634221281101862,0.639827388266844,0.049692072108171545,0.12843032109390973,0.3632402474758431,0.01824018379527731,0.0605412228699154,0.1920393376480056,6.571707171620374,14.165333328651416,7.593626157031041
The Bahamas,Central-America,32933.4860147581,High income,13397.840998394408,333736.2950468668,0.008102108768035516,730,13.745882352941177,0.05009973713463247,40,10,27.348643006263053,27.348643006263053,57.20250521920668,5.045233124565067,5.6131090715720635,14.245194730400998,2.2964509394572024,2.2964509394572024,2.2964509394572024,0.386053209030781,0.4210286383612445,0.9258864533547464,0.039708440543197956,0.0829050998580497,0.2676456071912006,0.0010906898296003476,0.013319406053166385,0.07558732622011675,9.502848853435053,12.71810642432348,3.2152575708884266
Bosnia & Herzegovina,Europe,6073.26520283208,Upper middle income,51096.97220891753,12324282.86424341,0.0008299568216501022,5803,37.07425260264333,-0.011372761971689715,97,10,6.675246675246675,23.98233154339165,73.32141945366352,2.5525639688563846,5.014405465319503,30.917606827893096,0.8301190675834312,0.8301190675834312,8.655043586550436,0.5097816319518597,0.8905451487732221,0.994716822763182,0.3305067690741383,0.5516974260171498,0.8607978969210565,0.11624823211830952,0.3621414140234521,0.7373872671254402,10.841480522164638,16.327082090743264,5.485601568578627
Belarus,Europe,6663.29529282582,Upper middle income,207031.86928050002,75416067.46359277,9.036176917506373e-05,44707,97.34428249614332,0.04958979939563616,258,12,12.001060867258985,29.38786210512518,80.74412532637075,3.9585363743732596,9.909047693087013,51.08180616118456,1.2756088132972556,1.2953028915347375,22.254719489497475,0.5680994359097394,0.94435148225245,0.9996931060807104,0.4326947481739071,0.6443255086762332,0.9201162044841125,0.3242748185942857,0.5490907974825343,0.8514802841119036,12.24062801827402,18.13853090661051,5.897902888336487
Belize,Central-America,4815.1637107951,Upper middle income,21989.93453642876,2049566.8403017363,0.004925382559094067,936,28.255077985223853,0.0914269444259123,70,8,78.27014218009478,82.36078431372549,93.72342101118286,29.997077752710037,51.505330368496814,79.25831012049503,1.086008719778042,7.879362071687984,27.563185503099668,0.959038867286074,0.9712784307120744,0.9963342560622582,0.4917607936059855,0.7437382712239616,0.933671866399936,0.024543335571279603,0.2288348313890153,0.6748089190592291,9.998340106574332,14.53313903137436,4.534798924800027
Bermuda,North-America,85748.0654143782,High income,68.05481883713084,139408.29351753555,0.011763641299429915,390,15.13543269085754,0.2091136824525728,45,4,12.657798864695415,23.07040582902652,60.133017029568755,5.043570981333807,7.247113543965121,19.756395564018057,0.9446750826061171,0.9446750826061171,0.9446750826061171,0.2584122790684241,0.4006131487100406,0.8644710212587464,0.07880647822469099,0.1810339293257352,0.45787248430240934,0.0017868968004884469,0.017197424755514015,0.1494840270875931,4.220313539773747,11.845162269925751,7.624848730152005
Bolivia,South-America,3552.0687621415996,Lower middle income,1085775.7910499207,52289362.78836338,0.00024778009774631594,19137,77.26176249814749,0.1448918132720395,235,10,53.05758071715518,80.50885284927838,99.16530034282309,25.774062788131097,47.945623670120554,91.5900402399517,1.4727759595358525,24.790167865707435,66.48351648351648,0.9342060358045168,0.9903693896476651,0.9999667739986297,0.724057571587562,0.8908147720215984,0.9924190172585117,0.4800435657951653,0.7442808522750971,0.9471178439682238,13.897805304247958,17.77230351998112,3.8744982157331616
Barbados,Central-America,18148.2449264001,High income,435.1182895156152,603677.7364541709,0.005124282600435939,1025,16.87606235127082,-0.0559188042454961,41,12,5.386914407115336,11.767383634915216,46.5695990242415,1.3640986518401537,2.0533662713738656,9.796777390574253,0.37232174218475594,0.37232174218475594,0.3938324354449192,0.13248288761390256,0.22443412081200664,0.6682126590452373,0.047058784910039654,0.11074452746465165,0.337593772403033,0.013562505518301828,0.03662472620155651,0.17384365975563287,6.0756179240433985,13.310795785612143,7.2351778615687445
Bhutan,Asia,3243.23112593497,Lower middle income,38800.1403225656,2782745.684573294,0.010337529845886694,381,20.502333405687,0.11645493042952157,54,8,71.52430486097221,72.85457091418283,87.32746549309863,22.04866505215937,43.2986597319464,69.56901380276057,0.730146029205841,3.3906781356271254,20.084016803360672,0.9474762950740654,0.96517642793496,0.9870821209545452,0.48147955590493957,0.7503060830229416,0.9129850801381098,0.0001088692552312761,0.1438117520160177,0.43892457874725066,10.566179142165794,14.838948654576548,4.272769512410753
Botswana,Africa,7961.338140140479,Upper middle income,579274.3684933363,19880401.07361479,0.0010779211770435226,4553,35.33456466828651,0.03190971444375969,91,8,25.261428144607113,65.67386448250187,89.50044869877357,7.39549170114361,17.55829859841339,65.22881826445851,1.4749702026221692,1.4885382554331648,23.834351258751678,0.9106332722911556,0.9773474098906564,0.999532207344908,0.7827932281970145,0.9067563455853009,0.9748394050156587,0.4747760144747276,0.7719201194812759,0.9221049605047092,13.269531510453053,16.80524493371831,3.535713423265256
Central African Republic,Africa,467.9074406363349,Low income,621569.7779342879,17184069.194244497,0.003134351460117634,1215,26.86949489216799,-0.005112847254032322,72,8,45.87083112758073,69.6372239747634,94.82363315696648,9.483242794079914,24.65415687076827,71.67169238637572,0.8832188420019628,0.9358996998057568,23.134983324556785,0.9357917113925256,0.974270272187786,0.999158229556545,0.23968735970229066,0.4794193516024856,0.8855973629003094,0.07012656091232665,0.16812898790829298,0.5224037418931701,13.34000345705676,16.65949330294955,3.3194898458927895
Canada,North-America,46194.7252255167,High income,10372618.544347987,344518687.6667458,2.210207163108301e-05,223224,274.7079586161422,0.10816347695181963,818,16,78.16926345609065,87.37606232294618,96.31728045325781,52.55943158021641,77.98311847201497,91.78639445044656,19.61756373937677,47.80453257790368,87.64164305949008,0.9875080334024576,0.9993647676939308,0.9999910038376536,0.9718132920865914,0.988067353005254,0.9998209309028457,0.9561934788584532,0.977205983133124,0.9971159901838944,16.154680059839013,19.65765889271378,3.5029788328747684
Switzerland,Europe,81993.7271494202,High income,41222.252979549994,25632640.784944434,0.00014113387256228986,33908,78.57769828002145,0.006423455029644363,214,10,5.697681763628324,12.328097304565736,54.594074875307975,2.081522580434977,4.697463519703786,23.061692213215405,0.6038647342995169,0.6201264812427089,7.82292298362644,0.7510154291176925,0.8931293438684766,0.9964679777611004,0.5300001414602075,0.7739516160006278,0.9622417011431517,0.37957757463992,0.6249641823032407,0.9204353053613348,10.62673351038771,17.05937712795037,6.4326436175626585
Chile,South-America,14896.453866578899,High income,758053.1752118926,84362839.81548423,6.837903909183389e-05,72876,212.7613565661981,0.19166040956494074,745,12,48.18572656921754,64.41960447119519,95.09803921568628,9.050778401400992,29.447572489028012,84.24131689945686,1.702493551160791,7.114556416881998,65.01809408926418,0.9485903100971452,0.9810231654930932,0.9999944626516134,0.8217456249860854,0.9194144071958112,0.98735100444526,0.7533539375824091,0.8693546819013814,0.9622924830575312,13.538508814158554,18.25063757606521,4.712128761906655
Cote d'Ivoire,Africa,2286.162776855,Lower middle income,322250.9402476611,22630304.68099162,0.0008990536541183508,5380,35.94660055781433,0.0364546285946563,85,10,12.36215112321307,29.91229218484095,73.39020363236104,3.654241236838715,8.057945701350159,36.657839490869875,1.3076211861048739,1.3444474321054047,9.807846277021616,0.5253619667512046,0.945409692458884,0.998884087694908,0.32023114906689076,0.5250892561080162,0.8606970427556686,0.15503640474709088,0.322824505143716,0.6488324680787616,12.683085838555629,16.934800481106873,4.251714642551245
Cameroon,Africa,1497.90917560296,Lower middle income,466832.12340166117,42816156.095223695,0.0004188647115618304,11368,56.832065685414925,0.057308434129461475,191,13,42.11586901763224,61.73230974632844,91.51890264302442,7.268785660879621,22.65876394430556,76.012257401873,1.6497250458256958,1.6714502785750465,36.6632860040568,0.9794168533576888,0.9969587019545292,0.9997438372338108,0.8381363118588712,0.9339590862952524,0.9932301217669797,0.6263037652539295,0.8594021416300165,0.953596354410885,13.053724993225744,17.57242606818517,4.518701074959427
"Congo, DRC",Africa,545.216212311342,Low income,2343190.8927497542,70519509.88121326,0.0005425806167620091,7371,101.67046990823313,0.07856690988209829,283,10,75.10970821464315,92.92354975028812,98.38078428363134,36.14356367341162,70.12095805726605,94.63256527293453,2.3357310272367253,22.975879551390385,76.02509179926561,0.9464491938780484,0.9962658865521632,0.9998094688829642,0.7155759031949052,0.9266637488873477,0.9953824301749651,0.2599859656806282,0.7376596161373948,0.9575681592121028,14.66702418781593,18.071399965401913,3.4043757775859835
Congo,Africa,2011.07239887663,Lower middle income,341752.84399627335,10309172.47918418,0.0029515888966439342,1755,27.766832886250306,-0.04710354856124855,68,9,53.960029607698004,72.6498889711325,91.36145024047356,13.254483341957968,28.59648836561075,67.71760685852962,1.8309598668392824,1.8312985571587126,20.787867579064176,0.9556664036297564,0.983618533723746,0.9977270870686124,0.7515160819441371,0.9032011224857367,0.9766835672190451,0.33033613079195984,0.7759564879545121,0.9172572283412149,12.741843076413378,16.14854458887116,3.4067015124577833
Colombia,South-America,6432.38758339551,Upper middle income,1139477.7793219613,60263549.62034668,0.00010842380212834216,47362,98.09450406266815,0.11276505713855108,242,16,27.541501976284582,68.92575039494471,98.26196871543688,11.80491831118635,37.357272042168354,92.3639154548311,1.5657124782539933,11.03742302226433,77.8075287446842,0.9495755315856076,0.9989612739079,0.9999823268293792,0.8698871334518605,0.9647633301468601,0.9988432448634389,0.7359695917354134,0.8879458902708794,0.9880036222211438,13.946080627102104,17.91423799501534,3.9681573679132374
Comores,Africa,1393.52237156461,Lower middle income,1672.7701693878212,366370.82173778146,0.01694915254237288,267,12.710975687170697,-0.07577092511013273,28,8,42.34142621075378,62.52701156730647,80.02203296470488,9.281386381932965,16.417963524548,41.3791128431446,1.4236684886233637,1.4236684886233637,2.9024193890089403,0.6506391150318229,0.8374079867223331,0.949784507785944,0.08440047630935663,0.2251768903838931,0.5804438855447315,2.2599167435552843e-06,0.0015123031973716618,0.08873263865186852,7.422236315212605,12.81140127361594,5.3891649584033345
Cape Verde,Africa,3603.7817936777,Lower middle income,4098.7740543662,369813.6864295669,0.008993341945741827,543,17.64604657325516,0.0262227556543545,48,8,62.23612197028929,69.66379984362784,87.33385457388584,9.030492572322126,17.607965782090783,41.76386190886888,2.8928850664581707,2.8928850664581707,2.8928850664581707,0.8905174777086207,0.9094321146095166,0.9819100232839968,0.12618698061034408,0.2890690368585721,0.6001402406202597,0.00016934103086937104,0.012106148740174372,0.0832435954131033,8.318443196849463,12.820754607606073,4.502311410756611
Costa Rica,Central-America,12238.374964398401,Upper middle income,51266.72126847441,8698591.400247162,0.001085047326955459,4365,32.485890656064605,0.06545676909882141,87,12,27.79783393501805,50.20440251572327,82.08156195874665,6.106538920564291,16.18955862157531,54.15060031160912,1.54518495395661,1.5575833857772183,22.71655400094325,0.8690259269920501,0.9512097015286964,0.9947923256024366,0.5509803493783162,0.7246717890239393,0.8862932307828288,0.3701276858620463,0.617777546723011,0.7725883340548931,10.844797112439771,15.978671662498726,5.133874550058955
Cuba,Central-America,8821.81889125004,Upper middle income,110966.47794205997,19748186.38200369,0.00026373454461963943,18450,102.09624319647068,0.1279871526236201,264,9,17.229850746268653,68.26268656716418,87.48815165876778,5.062869142171064,22.541409601897012,78.77175580314619,1.189202045427518,4.018856806128461,47.61847486167909,0.8626720191499959,0.9151885644111056,0.9878082130051371,0.656854114980812,0.8366985534743514,0.9448576216356949,0.310016411754496,0.6653993109506743,0.9056293357905374,11.616983434161147,16.79857221633558,5.1815887821744315
Curacao,Central-America,19573.892645136002,High income,437.3631916971124,421169.3382892271,0.005729470477671917,884,18.783304167476828,0.008472723297256369,63,8,18.077550069864927,18.32021301227136,49.74036146325897,5.1646423349796775,6.642998734964062,18.25496384964145,0.4159465713699875,0.30774746780602946,1.1550330639235855,0.2426209531064048,0.28274788970190085,0.7193669623679347,0.06608374220137062,0.1338124923756793,0.3446729060500744,0.01125179439320421,0.03858787992605328,0.17889934012387246,6.080763952203047,12.950790260507738,6.87002630830469
Cayman Is.,Central-America,85477.28701306871,High income,280.21249193326406,164947.6647337819,0.014906588003933137,379,14.086961651917406,0.004674258415233868,46,8,13.252375923970433,40.25871172122492,56.75818373812038,7.761351636747624,10.43606604588653,22.186883670516192,2.692713833157339,2.692713833157339,2.692713833157339,0.4868910663065644,0.6856754196029246,0.8184753447018727,0.04714865414092594,0.13825581497161263,0.41405280531588906,0.001362594311929436,0.007855086736285145,0.05982102462093755,5.635548215112091,12.013383519137788,6.377835304025698
Cyprus,Asia,27858.3709958327,High income,5715.258276602571,4198543.86782388,0.0008871432543916957,5532,37.495527078877174,0.07924739711931507,94,14,4.679113185530922,7.242855489991901,52.92000464414257,1.8764807815931386,2.580016835447278,11.582035132666475,1.144640998959417,1.1474269819193323,1.1655011655011656,0.4683418884444184,0.7652577440841267,0.9043378832301916,0.29425853149044157,0.49785990383841894,0.7880746957019227,0.1340507459643966,0.3426620238702193,0.5745868799918771,8.650894767964104,15.250248325002731,6.5993535570386275
Czech Republic,Europe,23101.7777049854,High income,78798.37922753791,61018420.22344709,8.592017307650241e-05,50756,89.90239325465497,0.06585277407369515,276,12,7.628607277289838,13.005600497822028,38.735777496839454,2.655584392688365,4.568116666589348,16.056752027523775,1.2113055181695829,1.1942098914354644,4.1367351994055,0.7077056894012903,0.8714151582640715,0.997718358069721,0.5227705044731089,0.72868774470329,0.9485101934432136,0.4159950458885605,0.6290002919106266,0.9007378411428558,11.27464770745599,17.92668634742974,6.652038639973749
Djibouti,Africa,3408.84625440838,Lower middle income,21884.985099179583,1231135.5414640086,0.008960074280408542,579,15.712395543175488,-0.03299322899211013,51,9,56.64538595473012,67.20835751596054,88.45037724898432,13.282654663966333,22.40032919081091,47.601618072953286,2.901915264074289,2.901915264074289,3.3662217063261752,0.8272470335593116,0.8803304458357734,0.9921534527388728,0.18864813035427586,0.352136482811179,0.6308712417137897,3.74748784444198e-06,0.012614784315421769,0.07847194361895503,9.993556068755657,14.023447505899766,4.029891437144109
Dominica,Central-America,8300.37507427213,Upper middle income,754.1964311469144,318149.451807182,0.036388508891928864,133,11.574008207934337,-0.07212558336868906,35,8,61.26348228043143,73.31278890600925,77.31895223420648,19.877047891575735,25.54918236492866,44.219064081406,1.694915254237288,1.4175654853620956,1.4175654853620956,0.8603409496610374,0.9436184607974044,0.9779127157356862,0.17578669439942807,0.3420040471154104,0.6346033665995241,0.0,0.002003536706081575,0.05458538237285932,6.625652852841322,12.670276525595433,6.044623672754112
Denmark,Europe,59822.0929608968,High income,43122.10514698171,27456646.49847335,0.00014756086918509418,35020,72.28198879151739,-0.0632693844112242,217,12,14.112990674474082,27.332895744448088,48.310830387668766,2.7015514388387416,4.988676931375559,18.089587441845197,0.5620848237097598,0.563288739641445,3.0965391621129323,0.6884146092849133,0.8682035959965714,0.9891697632850222,0.41708344053705765,0.6797825317167299,0.9454802878911961,0.29383521814806485,0.4836247864901338,0.8644355875300905,10.67179102505403,17.12811882770274,6.456327802648707
Dominican Republic,Central-America,8282.1162218645,Upper middle income,48093.57349098357,9120126.567604044,0.0006072325950406878,8224,45.780520784647294,0.11865131723412435,105,8,30.1015301015301,39.54681487815306,86.00887870542748,11.19313779514627,21.100454533380955,56.047586501744526,1.394955615048612,1.5321322173357925,28.36286321757619,0.7059197127676036,0.8092757707230095,0.9782849570124449,0.4294241212877638,0.6665882981160256,0.8845303135637093,0.18930401207068856,0.4122679597249719,0.7935653832961431,10.780903839911549,16.025994239980974,5.245090400069426
Algeria,Africa,3948.3432789257104,Lower middle income,2316742.4291600166,101466725.92877042,7.508934448253012e-05,70602,89.1874532546177,0.05965718654154543,220,13,35.154423526516545,56.88784931675489,79.59635737140044,11.158387468491746,27.497034861364178,60.990223833604475,1.2181616832779625,2.4240187030884703,42.64090573467881,0.8837318477180884,0.9413761875123144,0.9982798407839476,0.5148196628261665,0.6781278282743467,0.9107042734700976,0.36082869600634776,0.5539181963502808,0.7730050942390422,14.655672631572665,18.435241479338423,3.7795688477657583
Ecuador,South-America,6183.8238248217285,Upper middle income,256814.08018880684,34752980.19582491,0.00020236746898776134,24242,83.21381613181603,0.14129151985815847,205,11,38.85142990002325,54.78608100399316,96.7516069788797,9.370124160821906,29.271027305309943,83.51743981610866,1.1294922989161436,8.259212198221093,54.1532443626323,0.8524332251301969,0.9635471809560032,0.9996273970497604,0.5983204883579524,0.8067537450180515,0.981969210834588,0.3714190802768823,0.6164410924399164,0.9154180102192848,12.456107678690532,17.363775887328742,4.907668208638209
Egypt,Africa,3020.03134971543,Lower middle income,986809.8555876098,64095941.76240816,5.924739982900442e-05,80141,87.69144211441801,0.17425284577820804,270,38,15.855704697986578,34.62667785234899,69.53363511948626,3.6903703731693325,9.236130297731595,52.20140182015125,1.0381711409395973,1.0381711409395973,29.309258870459793,0.513532186728989,0.7479004737108399,0.9230313650036736,0.31857739565160503,0.4980179524624556,0.7620062132925339,0.1949238291328008,0.4161722535121761,0.6498968555006475,13.802232651009039,17.975891608847796,4.173658957838756
Eritrea,Africa,642.507659063694,Low income,120452.0102092204,4782633.452814925,0.004818972420866291,1029,19.45317073399179,-0.002059006438069888,48,8,29.16234708687539,53.68028198216878,92.22475637569976,8.568027266352471,18.077130416753054,58.73211693966407,0.9122952519178934,0.9848641924113622,22.890317229939868,0.6914555881910389,0.9050957914095649,0.995463825265372,0.2568682951421817,0.4697227432663312,0.8175145216050723,0.02640862931515349,0.14352637825661807,0.40177319424432173,11.699006697062911,15.380501884311808,3.6814951872488972
